AIPI,13-Jan-2025,48.08,48.53,48.01,48.53,152400
AIQ,13-Jan-2025,37.75,38.02,37.64,38,360300
AIRE,13-Jan-2025,1.62,1.75,1.6,1.6,312400
AIRG,13-Jan-2025,6.39,6.6238,5.9,6,48800
AIRJ,13-Jan-2025,7.57,8.27,7.35,7.87,57900
AIRJW,13-Jan-2025,1.02,1.25,0.9001,1.25,55100
AIRL,13-Jan-2025,29.5,29.541,29.5,29.541,100
AIRR,13-Jan-2025,75.84,77.38,75.4,77.34,608100
AIRS,13-Jan-2025,4.05,5.06,3.83,4.79,939600
AIRT,13-Jan-2025,19.68,20.06,18.85,19.08,21800
AIRTP,13-Jan-2025,17.59,17.6,17.24,17.26,4600
AISP,13-Jan-2025,4.14,4.4,3.86,4.17,1784700
AISPW,13-Jan-2025,1.5,1.5,1.28,1.31,175200
AITR,13-Jan-2025,10.78,10.8,10.78,10.785,2900
AITRU,13-Jan-2025,10.78,10.9,10.78,10.9,900
AIXI,13-Jan-2025,5.6,5.71,5.05,5.17,76300
AKAM,13-Jan-2025,88.95,90.155,88.5,89.61,1529900
AKAN,13-Jan-2025,1.56,1.63,1.48,1.63,82300
AKBA,13-Jan-2025,1.74,1.975,1.715,1.87,3962700
AKRO,13-Jan-2025,24.54,24.54,22.36,22.63,1094100
AKTX,13-Jan-2025,1.19,1.2391,1.14,1.21,23700
AKYA,13-Jan-2025,2.84,3.09,2.76,2.93,1054100
ALAB,13-Jan-2025,124.34,127.69,121.65,127.19,3789000
ALAR,13-Jan-2025,10.46,10.55,10.11,10.3,116800
ALBT,13-Jan-2025,3.4,3.41,3.22,3.25,18900
ALCE,13-Jan-2025,0.5888,0.6137,0.5305,0.5799,540600
ALCO,13-Jan-2025,28.58,30.02,28.58,29.82,51100
ALCYW,13-Jan-2025,0.1001,0.1001,0.1001,0.1001,2500
ALDF,13-Jan-2025,9.95,9.95,9.945,9.95,201800
ALDFU,13-Jan-2025,10.061,10.061,10.061,10.061,700
ALDFW,13-Jan-2025,0.26,0.27,0.25,0.25,3700
ALDX,13-Jan-2025,4.9,4.93,4.66,4.77,361000
ALEC,13-Jan-2025,1.77,1.81,1.69,1.79,1259400
ALF,13-Jan-2025,10.15,10.15,10.13,10.13,3100
ALFUW,13-Jan-2025,0.13,0.13,0.13,0.13,5000
ALGM,13-Jan-2025,22.53,23.19,22.3,23.04,1543300
ALGN,13-Jan-2025,210,213.81,207.77,213.68,454100
ALGS,13-Jan-2025,32.08,35,31,34.34,315000
ALGT,13-Jan-2025,98.6,100.98,94.67,97.25,310800
ALHC,13-Jan-2025,11.95,13.64,11.91,13.5,4890500
ALKS,13-Jan-2025,27.78,28.51,27.7,28.35,1100700
ALKT,13-Jan-2025,32.98,33.93,32.98,33.52,764100
ALLK,13-Jan-2025,0.9429,0.9997,0.8506,0.865,265200
ALLO,13-Jan-2025,2.05,2.05,1.92,1.95,2077300
ALLR,13-Jan-2025,1.02,1.13,1,1.07,1636100
ALLT,13-Jan-2025,7.5,8.15,7.2,7.87,1960000
ALMS,13-Jan-2025,6.91,7.41,6.76,7.2,84300
ALNT,13-Jan-2025,23.3,24.06,23.3,24,96400
ALNY,13-Jan-2025,240,261.86,236.87,258.27,1224300
ALOT,13-Jan-2025,11.78,11.78,11.36,11.36,4000
ALRM,13-Jan-2025,58.67,59.71,58.67,59.61,325200
ALRS,13-Jan-2025,18.3,18.7,18.25,18.7,59400
ALT,13-Jan-2025,6.67,6.82,6.58,6.78,1840400
ALTI,13-Jan-2025,3.97,4.17,3.95,4.13,55900
ALTO,13-Jan-2025,1.68,1.685,1.5713,1.63,690000
ALTR,13-Jan-2025,109.99,110.32,109.95,110.15,661300
ALTS,13-Jan-2025,6.23,6.39,5.27,5.69,244600
ALTY,13-Jan-2025,11.54,11.54,11.4601,11.535,4500
ALVO,13-Jan-2025,13.69,13.7,12.99,13.22,264700
ALVOW,13-Jan-2025,3.57,3.73,3,3.06,8400
ALVR,13-Jan-2025,0.4259,0.43,0.3821,0.41,1778000
ALXO,13-Jan-2025,1.85,1.8505,1.63,1.69,810600
ALZN,13-Jan-2025,1.11,1.15,1.09,1.15,78700
